,reward,timesteps,num_actions,run_num,agent_id
0,-0.0020129726943765624,1002,167,0,0
1,-0.0019888265647325376,1002,167,0,0
2,-0.002009622459705986,1002,167,0,0
3,-0.001968745125794669,1002,167,0,0
4,-0.0019826623663074354,1002,167,0,0
5,-0.0019719752610499056,1002,167,0,0
6,-0.001968738939829702,1002,167,0,0
7,-0.0019719867070901935,1002,167,0,0
8,-0.0019812497229004834,1002,167,0,0
9,-0.001969915796932373,1002,167,0,0
10,-0.0019691206464492956,1002,167,0,0
11,-0.0019796337433943267,1002,167,0,0
12,-0.0019700788203899796,1002,167,0,0
13,-0.0019822552638116935,1002,167,0,0
14,-0.0020121180244088363,1002,167,0,0
15,-0.001995311442703302,1002,167,0,0
16,-0.001968934490870107,1002,167,0,0
17,-0.0019725943352195347,1002,167,0,0
18,-0.0019687576413679846,1002,167,0,0
19,-0.0019687819300619846,1002,167,0,0
20,-0.0003390236431967578,1002,167,1,0
21,-0.0003528918548802994,1002,167,1,0
22,-0.0005020821523368697,1002,167,1,0
23,-0.00031630082510888317,1002,167,1,0
24,-0.00027454779221783234,1002,167,1,0
25,-0.00027573668446209177,1002,167,1,0
26,-0.0009464006595150648,1002,167,1,0
27,-0.00029387350458952766,1002,167,1,0
28,-0.000275994870334278,1002,167,1,0
29,-0.0008084805580254963,1002,167,1,0
30,-0.0007137424080922007,1002,167,1,0
31,-0.00033960821997352456,1002,167,1,0
32,-0.0004174789216759292,1002,167,1,0
33,-0.00045055112867533405,1002,167,1,0
34,-0.00035839831421603135,1002,167,1,0
35,-0.0004805099214853281,1002,167,1,0
36,-0.0002768389872068762,1002,167,1,0
37,-0.000329729857333959,1002,167,1,0
38,-0.0005639825782021723,1002,167,1,0
39,-0.0006958089274051775,1002,167,1,0
40,-0.00018056265819350244,1002,167,2,0
41,-0.00018919664648392622,1002,167,2,0
42,-0.00018102647200348137,1002,167,2,0
43,-0.00018286849632981488,1002,167,2,0
44,-0.00018252382072443397,1002,167,2,0
45,-0.00018006957106816375,1002,167,2,0
46,-0.00019045387034636967,1002,167,2,0
47,-0.0001800544507609621,1002,167,2,0
48,-0.00018902761009825393,1002,167,2,0
49,-0.00018845937643540962,1002,167,2,0
50,-0.00018396387816693927,1002,167,2,0
51,-0.0001820290964031192,1002,167,2,0
52,-0.00018105307788661104,1002,167,2,0
53,-0.0001810181910642589,1002,167,2,0
54,-0.00018414005208843888,1002,167,2,0
55,-0.00018088575388724355,1002,167,2,0
56,-0.00018963540802669792,1002,167,2,0
57,-0.0001801782509692345,1002,167,2,0
58,-0.00021550282035163491,1002,167,2,0
59,-0.00019033566678035733,1002,167,2,0
60,-0.000790622788226757,1002,167,3,0
61,-0.0008693985710521548,1002,167,3,0
62,-0.0008773305445051232,1002,167,3,0
63,-0.0008589167967264799,1002,167,3,0
64,-0.0007383826139984684,1002,167,3,0
65,-0.0008780946020847798,1002,167,3,0
66,-0.0008013103840636923,1002,167,3,0
67,-0.0008529361918632899,1002,167,3,0
68,-0.0007774168233476665,1002,167,3,0
69,-0.0008721938455342004,1002,167,3,0
70,-0.0007713144951286854,1002,167,3,0
71,-0.0008596816680981866,1002,167,3,0
72,-0.0007824392670360576,1002,167,3,0
73,-0.0007383824241290451,1002,167,3,0
