episode,success,sim_steps,VFE_post_run,noise_stddev,agent_num
18,True,199,8.155927658081055,"[0.05, 0.05]",6
19,True,483,5.555941104888916,"[0.05, 0.05]",6
20,True,416,5.867033958435059,"[0.05, 0.05]",6
21,False,999,3.296456813812256,"[0.05, 0.05]",6
22,True,456,7.025378704071045,"[0.05, 0.05]",6
23,False,999,6.070727348327637,"[0.05, 0.05]",6
24,True,589,5.283935546875,"[0.05, 0.05]",6
25,True,311,5.688736438751221,"[0.05, 0.05]",6
26,True,363,4.552664279937744,"[0.05, 0.05]",6
27,True,780,5.8270368576049805,"[0.05, 0.05]",6
28,True,491,4.044166564941406,"[0.05, 0.05]",6
29,True,769,4.600076675415039,"[0.05, 0.05]",6
30,True,443,5.482700347900391,"[0.05, 0.05]",6
31,True,481,5.478310585021973,"[0.05, 0.05]",6
32,True,668,4.831624984741211,"[0.05, 0.05]",6
33,True,413,4.59138298034668,"[0.05, 0.05]",6
34,True,242,4.799082279205322,"[0.05, 0.05]",6
35,True,493,4.573298454284668,"[0.05, 0.05]",6
36,True,485,4.650112628936768,"[0.05, 0.05]",6
37,True,717,4.273412704467773,"[0.05, 0.05]",6
38,False,999,4.656538963317871,"[0.05, 0.05]",6
39,True,469,4.189542770385742,"[0.05, 0.05]",6
0,True,792,58.69436264038086,"[0.05, 0.05]",2
1,False,999,27.93813133239746,"[0.05, 0.05]",2
2,True,427,55.18590545654297,"[0.05, 0.05]",2
3,True,147,47.7202033996582,"[0.05, 0.05]",2
4,True,383,30.81786346435547,"[0.05, 0.05]",2
5,True,195,42.05304718017578,"[0.05, 0.05]",2
6,True,272,49.491878509521484,"[0.05, 0.05]",2
7,True,206,50.96295166015625,"[0.05, 0.05]",2
8,True,124,37.00386047363281,"[0.05, 0.05]",2
9,True,257,49.968910217285156,"[0.05, 0.05]",2
10,True,213,25.87688446044922,"[0.05, 0.05]",2
11,True,175,28.267803192138672,"[0.05, 0.05]",2
12,True,213,32.327274322509766,"[0.05, 0.05]",2
13,True,132,21.001453399658203,"[0.05, 0.05]",2
14,True,217,30.160717010498047,"[0.05, 0.05]",2
15,True,242,8.270490646362305,"[0.05, 0.05]",2
16,True,261,17.874799728393555,"[0.05, 0.05]",2
17,True,676,9.236330032348633,"[0.05, 0.05]",2
18,True,255,10.80553913116455,"[0.05, 0.05]",2
19,True,628,5.524832725524902,"[0.05, 0.05]",2
20,False,999,8.11116886138916,"[0.05, 0.05]",2
21,True,947,8.193266868591309,"[0.05, 0.05]",2
22,False,999,6.2516255378723145,"[0.05, 0.05]",2
23,True,884,4.547609329223633,"[0.05, 0.05]",2
24,True,211,6.895213603973389,"[0.05, 0.05]",2
25,True,467,5.797213077545166,"[0.05, 0.05]",2
26,False,999,5.192254066467285,"[0.05, 0.05]",2
27,True,254,4.942142963409424,"[0.05, 0.05]",2
28,True,329,4.393876552581787,"[0.05, 0.05]",2
29,True,208,5.964404582977295,"[0.05, 0.05]",2
30,False,999,6.4090166091918945,"[0.05, 0.05]",2
31,False,999,4.913015365600586,"[0.05, 0.05]",2
32,False,999,4.53239107131958,"[0.05, 0.05]",2
33,True,682,5.103619575500488,"[0.05, 0.05]",2
34,False,999,4.134269714355469,"[0.05, 0.05]",2
35,True,201,5.212974548339844,"[0.05, 0.05]",2
36,True,555,5.2690815925598145,"[0.05, 0.05]",2
37,True,360,4.589004039764404,"[0.05, 0.05]",2
38,True,441,4.824801445007324,"[0.05, 0.05]",2
39,True,369,5.382390975952148,"[0.05, 0.05]",2
0,True,488,48.451847076416016,"[0.05, 0.05]",8
1,False,999,21.845083236694336,"[0.05, 0.05]",8
2,True,520,29.304485321044922,"[0.05, 0.05]",8
3,True,572,57.336387634277344,"[0.05, 0.05]",8
4,True,599,26.101938247680664,"[0.05, 0.05]",8
5,True,610,14.295387268066406,"[0.05, 0.05]",8
6,True,123,19.913284301757812,"[0.05, 0.05]",8
7,True,219,14.028074264526367,"[0.05, 0.05]",8
8,True,334,14.153602600097656,"[0.05, 0.05]",8
9,True,353,7.543035507202148,"[0.05, 0.05]",8
10,True,156,6.013182163238525,"[0.05, 0.05]",8
11,True,204,9.52951431274414,"[0.05, 0.05]",8
12,True,375,4.606128692626953,"[0.05, 0.05]",8
13,True,187,6.8644843101501465,"[0.05, 0.05]",8
14,True,286,10.367304801940918,"[0.05, 0.05]",8
15,True,399,7.413505554199219,"[0.05, 0.05]",8
16,True,333,6.117143630981445,"[0.05, 0.05]",8
17,True,431,5.716668128967285,"[0.05, 0.05]",8
18,True,770,6.246190547943115,"[0.05, 0.05]",8
19,True,861,4.025937080383301,"[0.05, 0.05]",8
20,False,999,5.853903770446777,"[0.05, 0.05]",8
21,False,999,5.33450984954834,"[0.05, 0.05]",8
22,True,408,4.936755657196045,"[0.05, 0.05]",8
23,True,281,4.685478687286377,"[0.05, 0.05]",8
24,True,281,4.631653785705566,"[0.05, 0.05]",8
25,True,699,4.822521209716797,"[0.05, 0.05]",8
26,False,999,4.5599751472473145,"[0.05, 0.05]",8
27,False,999,3.857512950897217,"[0.05, 0.05]",8
28,True,303,5.362163066864014,"[0.05, 0.05]",8
29,False,999,4.588697910308838,"[0.05, 0.05]",8
30,False,999,4.720761775970459,"[0.05, 0.05]",8
31,False,999,4.1349945068359375,"[0.05, 0.05]",8
32,True,132,5.155261993408203,"[0.05, 0.05]",8
33,False,999,4.297569274902344,"[0.05, 0.05]",8
34,False,999,5.296921253204346,"[0.05, 0.05]",8
35,True,204,4.796394348144531,"[0.05, 0.05]",8
36,True,463,4.443291664123535,"[0.05, 0.05]",8
37,True,677,4.311498641967773,"[0.05, 0.05]",8
38,True,596,4.9879984855651855,"[0.05, 0.05]",8
39,True,264,4.5141448974609375,"[0.05, 0.05]",8
0,True,961,54.56424331665039,"[0.05, 0.05]",3
1,True,900,29.077421188354492,"[0.05, 0.05]",3
2,True,425,27.624605178833008,"[0.05, 0.05]",3
3,True,964,17.60751724243164,"[0.05, 0.05]",3
4,True,272,8.764335632324219,"[0.05, 0.05]",3
5,True,226,11.059773445129395,"[0.05, 0.05]",3
6,True,435,7.830362796783447,"[0.05, 0.05]",3
7,True,81,8.338388442993164,"[0.05, 0.05]",3
8,True,764,6.278090000152588,"[0.05, 0.05]",3
9,True,373,5.941936492919922,"[0.05, 0.05]",3
10,True,407,6.525131702423096,"[0.05, 0.05]",3
11,True,655,5.447339057922363,"[0.05, 0.05]",3
12,True,409,4.238933563232422,"[0.05, 0.05]",3
13,True,637,5.842684745788574,"[0.05, 0.05]",3
14,True,338,5.105408191680908,"[0.05, 0.05]",3
15,True,248,5.939162731170654,"[0.05, 0.05]",3
16,True,298,4.76957368850708,"[0.05, 0.05]",3
17,True,441,4.074070930480957,"[0.05, 0.05]",3
18,False,999,4.047781944274902,"[0.05, 0.05]",3
19,True,973,4.912861347198486,"[0.05, 0.05]",3
20,True,453,4.765855312347412,"[0.05, 0.05]",3
21,True,901,4.4436469078063965,"[0.05, 0.05]",3
22,True,849,4.510315895080566,"[0.05, 0.05]",3
23,True,612,3.9373316764831543,"[0.05, 0.05]",3
24,False,999,4.9317426681518555,"[0.05, 0.05]",3
25,True,834,4.6038079261779785,"[0.05, 0.05]",3
26,True,502,4.589964389801025,"[0.05, 0.05]",3
27,True,799,4.9414591789245605,"[0.05, 0.05]",3
28,True,564,4.499901294708252,"[0.05, 0.05]",3
29,True,285,4.611586570739746,"[0.05, 0.05]",3
