,episode,success,sim_steps,noise_stddev,total_reward,agent_time_ratio,agent_id
92,92,False,999,"[0, 0]",-0.09170612222074749,6,0
93,93,False,999,"[0, 0]",-0.09949167820874849,6,0
94,94,False,999,"[0, 0]",-0.09086498737490639,6,0
95,95,False,999,"[0, 0]",-0.09116491610210625,6,0
96,96,False,999,"[0, 0]",-0.08168282736126134,6,0
97,97,False,999,"[0, 0]",-0.08126627338090922,6,0
98,98,False,999,"[0, 0]",-0.0780849325453506,6,0
99,99,False,999,"[0, 0]",-0.08433993986009836,6,0
100,100,False,999,"[0, 0]",-0.07523491417867592,6,0
101,101,False,999,"[0, 0]",-0.07282516629298122,6,0
102,102,False,999,"[0, 0]",-0.07657393232932437,6,0
103,103,False,999,"[0, 0]",-0.08894240293681621,6,0
104,104,False,999,"[0, 0]",-0.09651680772390972,6,0
105,105,False,999,"[0, 0]",-0.0846771694152833,6,0
106,106,False,999,"[0, 0]",-0.07702155413871714,6,0
107,107,False,999,"[0, 0]",-0.08055945848825534,6,0
108,108,False,999,"[0, 0]",-0.08973684679170145,6,0
109,109,False,999,"[0, 0]",-0.0710011437815908,6,0
110,110,False,999,"[0, 0]",-0.07747871394440883,6,0
111,111,False,999,"[0, 0]",-0.08060707189447784,6,0
112,112,False,999,"[0, 0]",-0.06286973467665431,6,0
113,113,False,999,"[0, 0]",-0.060075804001000155,6,0
114,114,False,999,"[0, 0]",-0.07856137272047387,6,0
115,115,False,999,"[0, 0]",-0.07098798345604576,6,0
116,116,False,999,"[0, 0]",-0.07851106494414128,6,0
117,117,False,999,"[0, 0]",-0.06648995710169221,6,0
118,118,False,999,"[0, 0]",-0.06573254539937884,6,0
119,119,False,999,"[0, 0]",-0.08388338208554513,6,0
120,120,False,999,"[0, 0]",-0.06095777250843385,6,0
121,121,False,999,"[0, 0]",-0.08405451686206461,6,0
122,122,False,999,"[0, 0]",-0.06775658655748545,6,0
123,123,False,999,"[0, 0]",-0.06510754716413558,6,0
124,124,False,999,"[0, 0]",-0.07729783354520486,6,0
125,125,False,999,"[0, 0]",-0.06086375896678503,6,0
126,126,False,999,"[0, 0]",-0.07149636197579015,6,0
127,127,False,999,"[0, 0]",-0.0817278854896483,6,0
128,128,False,999,"[0, 0]",-0.05976312197426498,6,0
129,129,False,999,"[0, 0]",-0.079844397341015,6,0
130,130,False,999,"[0, 0]",-0.056344722803841334,6,0
131,131,False,999,"[0, 0]",-0.06944123037786099,6,0
132,132,False,999,"[0, 0]",-0.07060213260487172,6,0
133,133,False,999,"[0, 0]",-0.06037357329880312,6,0
134,134,False,999,"[0, 0]",-0.0813257335488918,6,0
135,135,False,999,"[0, 0]",-0.057103595126429166,6,0
136,136,False,999,"[0, 0]",-0.044777924758044915,6,0
137,137,False,999,"[0, 0]",-0.05948411319889828,6,0
138,138,False,999,"[0, 0]",-0.05164205547906141,6,0
139,139,False,999,"[0, 0]",-0.05279355101585311,6,0
140,140,False,999,"[0, 0]",-0.04992559419855393,6,0
141,141,False,999,"[0, 0]",-0.055353689883500264,6,0
142,142,False,999,"[0, 0]",-0.061998594849527196,6,0
143,143,False,999,"[0, 0]",-0.054131906609302706,6,0
144,144,False,999,"[0, 0]",-0.039952614524253915,6,0
145,145,False,999,"[0, 0]",-0.05745300100468784,6,0
146,146,False,999,"[0, 0]",-0.07237763769557008,6,0
147,147,False,999,"[0, 0]",-0.051914588809491874,6,0
148,148,False,999,"[0, 0]",-0.039161913313444145,6,0
149,149,False,999,"[0, 0]",-0.04580002970601592,6,0
150,0,False,999,"[0, 0]",-0.04647630104826411,6,1
151,1,False,999,"[0, 0]",-0.0689134736226612,6,1
152,2,False,999,"[0, 0]",-0.08608790176914721,6,1
153,3,False,999,"[0, 0]",-0.1061560545522863,6,1
154,4,False,999,"[0, 0]",-0.133019213493274,6,1
155,5,False,999,"[0, 0]",-0.1918293322868822,6,1
156,6,False,999,"[0, 0]",-0.2479038673696844,6,1
157,7,False,999,"[0, 0]",-0.25189470887836385,6,1
158,8,False,999,"[0, 0]",-0.20134933397454982,6,1
