episode,success,sim_steps,VFE_post_run,noise_stddev,agent_num
18,True,293,29.78199577331543,"[0.05, 0.05]",7
19,True,183,37.53746795654297,"[0.05, 0.05]",7
20,True,191,33.265506744384766,"[0.05, 0.05]",7
21,True,304,32.38072204589844,"[0.05, 0.05]",7
22,True,167,31.860595703125,"[0.05, 0.05]",7
23,True,209,24.723312377929688,"[0.05, 0.05]",7
24,True,659,20.283706665039062,"[0.05, 0.05]",7
25,True,219,12.571691513061523,"[0.05, 0.05]",7
26,True,249,18.415809631347656,"[0.05, 0.05]",7
27,True,398,20.961444854736328,"[0.05, 0.05]",7
28,True,288,16.471881866455078,"[0.05, 0.05]",7
29,True,231,23.105207443237305,"[0.05, 0.05]",7
30,True,356,15.263413429260254,"[0.05, 0.05]",7
31,True,201,10.561929702758789,"[0.05, 0.05]",7
32,True,339,14.013338088989258,"[0.05, 0.05]",7
33,True,197,13.21156120300293,"[0.05, 0.05]",7
34,True,227,11.766871452331543,"[0.05, 0.05]",7
35,True,219,8.744044303894043,"[0.05, 0.05]",7
36,True,216,10.52793025970459,"[0.05, 0.05]",7
37,True,222,9.414289474487305,"[0.05, 0.05]",7
38,True,148,8.925469398498535,"[0.05, 0.05]",7
39,True,349,10.747154235839844,"[0.05, 0.05]",7
0,True,814,91.6848373413086,"[0.05, 0.05]",5
1,False,999,42.593082427978516,"[0.05, 0.05]",5
2,True,427,51.918949127197266,"[0.05, 0.05]",5
3,True,293,88.50348663330078,"[0.05, 0.05]",5
4,False,999,65.19788360595703,"[0.05, 0.05]",5
5,True,693,66.79666137695312,"[0.05, 0.05]",5
6,True,489,53.91002655029297,"[0.05, 0.05]",5
7,True,406,89.48135375976562,"[0.05, 0.05]",5
8,True,347,53.793609619140625,"[0.05, 0.05]",5
9,True,210,50.10498046875,"[0.05, 0.05]",5
10,True,300,38.44124221801758,"[0.05, 0.05]",5
11,True,189,70.31294250488281,"[0.05, 0.05]",5
12,True,316,25.259737014770508,"[0.05, 0.05]",5
13,True,223,47.9924201965332,"[0.05, 0.05]",5
14,True,407,75.7473373413086,"[0.05, 0.05]",5
15,True,361,56.410396575927734,"[0.05, 0.05]",5
16,True,381,41.86249923706055,"[0.05, 0.05]",5
17,True,410,58.33927917480469,"[0.05, 0.05]",5
18,True,161,39.21647262573242,"[0.05, 0.05]",5
19,True,409,40.16682434082031,"[0.05, 0.05]",5
