episode,success,sim_steps,noise_stddev,agent_num
8,True,564,"[0, 0]",10
9,True,296,"[0, 0]",10
0,True,701,"[0, 0]",14
1,True,783,"[0, 0]",14
2,False,999,"[0, 0]",14
3,True,484,"[0, 0]",14
4,False,999,"[0, 0]",14
5,False,999,"[0, 0]",14
6,True,998,"[0, 0]",14
7,True,826,"[0, 0]",14
8,True,430,"[0, 0]",14
9,True,553,"[0, 0]",14
0,False,999,"[0, 0]",16
1,True,545,"[0, 0]",16
2,True,655,"[0, 0]",16
3,True,162,"[0, 0]",16
4,False,999,"[0, 0]",16
5,False,999,"[0, 0]",16
6,False,999,"[0, 0]",16
7,True,597,"[0, 0]",16
8,False,999,"[0, 0]",16
9,False,999,"[0, 0]",16
0,False,999,"[0, 0]",13
1,False,999,"[0, 0]",13
2,False,999,"[0, 0]",13
3,True,352,"[0, 0]",13
4,True,839,"[0, 0]",13
5,False,999,"[0, 0]",13
6,False,999,"[0, 0]",13
7,False,999,"[0, 0]",13
8,True,389,"[0, 0]",13
9,True,502,"[0, 0]",13
0,True,196,"[0, 0]",19
1,True,965,"[0, 0]",19
2,True,956,"[0, 0]",19
3,False,999,"[0, 0]",19
4,True,522,"[0, 0]",19
5,False,999,"[0, 0]",19
6,False,999,"[0, 0]",19
7,True,644,"[0, 0]",19
8,True,796,"[0, 0]",19
9,False,999,"[0, 0]",19
0,False,999,"[0, 0]",6
1,False,999,"[0, 0]",6
2,False,999,"[0, 0]",6
3,False,999,"[0, 0]",6
4,False,999,"[0, 0]",6
5,True,404,"[0, 0]",6
6,False,999,"[0, 0]",6
7,False,999,"[0, 0]",6
8,True,390,"[0, 0]",6
9,True,535,"[0, 0]",6
0,True,256,"[0, 0]",17
1,False,999,"[0, 0]",17
2,False,999,"[0, 0]",17
3,False,999,"[0, 0]",17
4,False,999,"[0, 0]",17
5,False,999,"[0, 0]",17
6,False,999,"[0, 0]",17
7,True,838,"[0, 0]",17
8,True,888,"[0, 0]",17
9,True,548,"[0, 0]",17
0,False,999,"[0, 0]",0
1,False,999,"[0, 0]",0
2,False,999,"[0, 0]",0
3,True,401,"[0, 0]",0
4,False,999,"[0, 0]",0
5,True,746,"[0, 0]",0
6,False,999,"[0, 0]",0
7,False,999,"[0, 0]",0
8,True,782,"[0, 0]",0
9,True,925,"[0, 0]",0
0,True,946,"[0, 0]",2
1,False,999,"[0, 0]",2
2,False,999,"[0, 0]",2
3,True,514,"[0, 0]",2
4,False,999,"[0, 0]",2
5,False,999,"[0, 0]",2
6,False,999,"[0, 0]",2
7,False,999,"[0, 0]",2
8,False,999,"[0, 0]",2
9,True,642,"[0, 0]",2
0,True,580,"[0, 0]",8
1,False,999,"[0, 0]",8
2,False,999,"[0, 0]",8
3,False,999,"[0, 0]",8
4,True,921,"[0, 0]",8
5,True,903,"[0, 0]",8
6,False,999,"[0, 0]",8
7,False,999,"[0, 0]",8
8,False,999,"[0, 0]",8
9,True,716,"[0, 0]",8
0,False,999,"[0, 0]",7
1,False,999,"[0, 0]",7
2,False,999,"[0, 0]",7
3,False,999,"[0, 0]",7
4,False,999,"[0, 0]",7
5,False,999,"[0, 0]",7
6,False,999,"[0, 0]",7
7,False,999,"[0, 0]",7
8,True,625,"[0, 0]",7
9,False,999,"[0, 0]",7
